,Feature importances
accident_count,0.6722474157005721
temp,0.05950534686686604
dayofyear_cos,0.03930142314461106
dayofyear_sin,0.03320798948680467
hour_cos,0.028671213033047878
visibility,0.025738878676668037
solar_elevation,0.019842138232727912
rel_hum,0.018557409213559917
stn_press,0.014886352485066916
street_level_indexed,0.014568598538569968
hour_sin,0.01395677992039565
loc_long,0.011905365317958484
loc_lat,0.011590989270685487
street_length,0.011444374293944811
dayofweek,0.010800036697518384
risky_weather,0.00925372185779576
street_type_indexed,0.004521967263206867
